chr1	116909887	116909902	BS1	0	+
chr19	14518583	14518598	BS2	0	-
chr1	107141271	107141287	BS9	0	-
chr3	128650848	128650864	BS13	0	-
chr6	158818194	158818211	BS14	0	-
chr5	138464809	138464825	BS15	0	+
chr3	169321683	169321699	BS16	0	+
chr17	40563535	40563551	BS17	0	-
chr17	40341607	40341624	BS18	0	+
chr6	33299346	33299364	BS19	0	-
chr2	201257751	201257767	BS20	0	+
chr22	46113577	46113599	BS21	0	-
chr3	50337643	50337660	BS22	0	+
chr17	40350488	40350505	BS24	0	+
chr17	31095380	31095397	BS25	0	+
chr17	31095380	31095399	BS26	0	+
chr3	169663029	169663045	BS28	0	-
chr11	101128668	101128686	BS29	0	+
chr1	87329129	87329146	BS30	0	-
chr19	38648874	38648892	BS31	0	+
chr2	15943554	15943572	BS32	0	-
chr11	19241765	19241782	BS33	0	-
chr17	49971792	49971811	BS34	0	+
chr2	205685856	205685873	BS35	0	+
chr15	89814896	89814915	BS36	0	-
chrX	153764156	153764174	BS37	0	+
chr6	292204	292221	BS38	0	+
chr7	152676165	152676182	BS39	0	-
chr3	50503703	50503720	BS40	0	-
chr13	51453254	51453271	BS41	0	+
chr4	102827170	102827187	BS42	0	-
chr14	65413260	65413279	BS43	0	+
chr15	68579094	68579113	BS44	0	-
chr1	169368218	169368236	BS45	0	+
chr12	6124638	6124656	BS46	0	-
chr17	79840014	79840034	BS47	0	+
chr19	18387011	18387031	BS48	0	+
chr12	26938826	26938846	BS49	0	-
chr22	46113748	46113778	BS50	0	-
chr8	127795677	127795693	BS51	0	+
